,sub,motion
1,sub-0111,0.45269606
2,sub-0339,0.80501026
3,sub-0397,0.77192086
4,sub-0406,0.90260607
5,sub-0287,0.87248904
0,sub-0166,1.4526849
1,sub-0289,0.60355926
2,sub-0040,1.5575342
3,sub-0316,0.66992253
4,sub-0115,0.6965886
5,sub-0385,0.61805737
0,sub-0401,0.5489491
1,sub-0272,0.6187776
2,sub-0169,0.50667787
3,sub-0082,0.58802813
4,sub-0259,0.43593603
5,sub-0357,0.79069555
0,sub-0110,1.0766361
1,sub-0156,0.915808
2,sub-0452,0.5366426
3,sub-0231,0.29614785
4,sub-0359,0.33673722
5,sub-0384,0.6928109
0,sub-0021,1.6681281
1,sub-0254,0.8346633
2,sub-0283,0.59363
3,sub-0127,0.6214037
4,sub-0058,0.48609418
5,sub-0047,1.6041456
0,sub-0423,0.6466213
1,sub-0094,0.49197963
2,sub-0318,0.44500536
3,sub-0403,0.40227848
4,sub-0439,0.5237425
5,sub-0411,1.0446814
0,sub-0032,1.2224159
1,sub-0062,0.6829903
2,sub-0117,0.53201884
3,sub-0453,0.4012168
4,sub-0056,1.568138
5,sub-0298,0.83692
0,sub-0448,0.50030684
1,sub-0363,1.2219764
2,sub-0116,0.6063316
3,sub-0170,0.8391925
4,sub-0137,0.81321204
5,sub-0068,0.498649
0,sub-0018,0.75091136
1,sub-0336,0.42134798
2,sub-0092,0.62041736
3,sub-0432,0.6121379
4,sub-0265,1.1285138
5,sub-0080,1.0850353
0,sub-0209,0.4906612
1,sub-0081,0.50544256
2,sub-0429,0.9394383
3,sub-0317,0.81624854
4,sub-0088,0.6555379
5,sub-0340,0.3646433
0,sub-0152,0.5000878
1,sub-0365,0.8282446
2,sub-0371,0.6459027
3,sub-0256,0.55477524
4,sub-0223,1.579855
5,sub-0155,1.0135685
0,sub-0010,0.53486294
1,sub-0331,1.0247076
2,sub-0296,0.6928285
3,sub-0176,0.9877359
4,sub-0188,1.0375412
5,sub-0146,1.3921884
0,sub-0435,0.43309885
1,sub-0376,0.89607173
2,sub-0380,0.9995929
3,sub-0124,0.7229723
4,sub-0349,0.8513311
5,sub-0083,1.1886065
0,sub-0033,0.9152425
1,sub-0148,0.53426194
2,sub-0262,0.5180873
3,sub-0027,1.1403954
4,sub-0284,0.90249217
5,sub-0381,0.5181029
0,sub-0269,1.6674222
1,sub-0399,1.3174478
2,sub-0325,0.77124214
3,sub-0293,0.34232134
4,sub-0222,1.4378903
5,sub-0250,0.3983192
0,sub-0086,0.5291374
1,sub-0211,0.64412755
2,sub-0370,0.90231824
3,sub-0356,0.70565337
4,sub-0113,0.7289948
5,sub-0139,1.8211801
0,sub-0125,0.5310552
1,sub-0095,1.3215946
2,sub-0329,1.9948624
3,sub-0232,0.4246995
4,sub-0001,0.52349895
5,sub-0096,2.1613653
0,sub-0323,0.5698637
1,sub-0275,0.43347666
2,sub-0346,0.5925662
3,sub-0177,0.49216312
4,sub-0034,1.2698872
5,sub-0424,0.34690616
0,sub-0213,0.3772315
1,sub-0145,0.4599844
2,sub-0292,1.1380289
3,sub-0409,0.5994441
4,sub-0373,1.2722698
