sub,motion,mean_thickness,residual,residual_z,outlier_type,cluster
sub-0037,1.8764566,2.4510294117647056,0.12435010528970114,0.9666825068663376,normal,1.0
sub-0084,0.81044614,2.2059705882352945,-0.23584436369369888,-1.83342523268939,normal,2.0
sub-0407,0.7498034,2.4277794117647065,-0.02058532675080693,-0.16002781197307578,normal,2.0
sub-0050,1.3511226,2.5146911764705884,0.13127258699743605,1.0204970328402352,normal,1.0
sub-0390,0.40727428,2.5091470588235296,0.023787081707836943,0.18491786334073043,normal,2.0
sub-0294,0.63361925,2.673705882352941,0.21279254548523774,1.6542232178485758,normal,0.0
sub-0035,0.49360538,2.223308823529411,-0.2527268671048404,-1.964667748983531,normal,2.0
sub-0447,0.4245994,2.3897500000000003,-0.0937387582593896,-0.7287136397159841,normal,2.0
sub-0400,1.2245572,2.1041617647058826,-0.2929266615727566,-2.277176033566183,sensitive,1.0
sub-0160,0.72791034,2.5018676470588233,0.05113832424639497,0.39754307697834396,normal,2.0
sub-0041,1.1186155,2.340897058823529,-0.06763371860238943,-0.5257762548325307,normal,1.0
sub-0138,0.42677435,2.327102941176471,-0.1561509091889759,-1.213898066210631,normal,2.0
sub-0337,0.91315347,2.217338235294118,-0.21338369721702977,-1.6588187590963723,normal,2.0
sub-0189,0.49649736,2.504205882352941,0.02848254323533439,0.22141980686318272,normal,0.0
sub-0327,0.3137797,2.6071617647058822,0.1117038014834213,0.8683716880892475,normal,0.0
sub-0126,0.61810505,2.6192647058823533,0.156675740587231,1.2179780412984353,normal,0.0
sub-0227,0.7329734,2.5648235294117647,0.11464104802626984,0.8912054834021693,normal,0.0
sub-0368,0.9366426,2.6094264705882355,0.1812415076896583,1.4089493096407049,normal,0.0
sub-0261,0.67526495,2.6091764705882357,0.1527611238714761,1.1875462898223053,normal,0.0
sub-0353,0.24654971,2.56260294117647,0.05988372810425169,0.46552877675057913,normal,0.0
sub-0279,0.38637024,2.495926470588235,0.008308729380812618,0.06459104580575979,normal,2.0
sub-0415,0.37837404,2.618,0.12951862031741745,1.0068619104312089,normal,0.0
sub-0281,0.38060063,2.5732205882352948,0.08497969388229487,0.6606217447382773,normal,0.0
sub-0229,2.2991593,2.5489264705882353,0.2679016393982514,2.0826345724739146,resistant,1.0
sub-0074,0.36276418,2.4903235294117647,0.00015618943706074973,0.0012141975771744803,normal,0.0
sub-0342,0.8219325,2.3883382352941176,-0.05223611954681617,-0.406077203351333,normal,2.0
sub-0303,0.5840214,2.4036617647058827,-0.06260844311867775,-0.4867103779603647,normal,2.0
sub-0067,0.79115355,2.348985294117647,-0.09491337545341239,-0.7378449700922705,normal,2.0
sub-0270,0.78896236,2.2200294117647057,-0.22410591971956073,-1.7421720051895522,normal,2.0
sub-0395,0.461588,2.5075441176470585,0.02805035427302771,0.2180600227395646,normal,0.0
sub-0130,0.61331224,2.3490882352941176,-0.11401838277608967,-0.8863649599174416,normal,2.0
sub-0260,0.26289135,2.419691176470589,-0.08126303959665027,-0.6317289289772243,normal,2.0
sub-0150,0.99034524,2.584426470588235,0.1620417210562164,1.259692517047932,normal,0.0
sub-0015,1.2574625,2.3109705882352944,-0.08256386451633357,-0.6418413827738985,normal,1.0
sub-0308,0.7800719,2.052470588235294,-0.39262496727011653,-3.0522184660379494,sensitive,2.0
sub-0420,0.46543398,2.5221764705882355,0.04309809656198205,0.3350393305147845,normal,0.0
sub-0369,1.0596442,2.3416617647058824,-0.07323827357021662,-0.5693453795513826,normal,1.0
sub-0338,0.5430633,2.3531029411764703,-0.1175909917962179,-0.9141379854053169,normal,2.0
sub-0300,2.0153139,2.2731176470588244,-0.038564222278932636,-0.2997935464638204,normal,1.0
sub-0107,0.56996125,2.6363088235294123,0.1685200335650201,1.310054126004226,normal,0.0
sub-0234,0.54711694,2.4267941176470593,-0.043461997428571486,-0.3378682513359252,normal,2.0
sub-0210,0.87448484,2.227235294117647,-0.20766308678770518,-1.6143474334168177,normal,2.0
sub-0309,1.6664735,2.3287352941176467,-0.02062347063671588,-0.16032433787601877,normal,1.0
sub-0208,0.51540273,2.4515588235294112,-0.02212262007293342,-0.17197854220333952,normal,2.0
sub-0311,0.6073513,2.4673529411764705,0.003602505151219404,0.028005434353808343,normal,0.0
sub-0441,1.3834653,2.331367647058823,-0.0485577331260969,-0.3774818772909337,normal,1.0
sub-0214,0.4963993,2.5924264705882356,0.11669254039125665,0.9071535340900431,normal,0.0
sub-0430,0.80406696,2.22439705882353,-0.21810688353691488,-1.6955362317632932,normal,2.0
sub-0312,1.0689389,2.3355147058823533,-0.07838144798176616,-0.6093277882660721,normal,1.0
sub-0182,0.57287216,2.4535147058823523,-0.013959688009689497,-0.10852090690908321,normal,2.0
sub-0433,0.93028986,2.4608823529411765,0.032011255292756946,0.24885158273286687,normal,2.0
sub-0307,1.4341725,2.2456617647058827,-0.1287869279415017,-1.00117382340822,normal,1.0
sub-0147,0.43238863,2.6275294117647063,0.14488193795541404,1.1262944623657858,normal,0.0
sub-0052,1.3706678,2.3870882352941174,0.005780646887059149,0.044938041757769616,normal,1.0
sub-0354,0.8344712,2.3917205882352945,-0.047499510365363484,-0.3692553830005946,normal,2.0
sub-0247,0.81359893,2.2620294117647055,-0.17944501957349468,-1.3949836307886991,normal,2.0
sub-0178,1.7646072,2.4661029411764703,0.12734321584456154,0.9899505821748366,normal,1.0
sub-0404,0.541623,2.463088235294118,-0.007761258882113431,-0.06033507712052729,normal,2.0
sub-0064,0.48792455,2.3766176470588234,-0.10003160793835608,-0.7776334833206534,normal,2.0
sub-0372,1.2918562,2.3890294117647057,-0.0007903111623663861,-0.00614378229805842,normal,1.0
sub-0108,0.6912572,2.5673529411764706,0.11266485520911473,0.8758428021878015,normal,0.0
